BE	boundary	disf	filename	filler	glob_id	level	nested	sent_id	time	tok_id	token
0	None	0	T10102	1	0	0	0	0	417.6	0	um
0	None	0	T10102	0	1	0	0	0	417.6	1	here
0	None	0	T10102	0	2	0	0	0	417.6	2	there
0	None	0	T10102	0	3	0	0	0	417.6	3	and
0	None	0	T10102	0	4	0	0	0	417.6	4	up
0	None	0	T10102	0	5	0	0	0	417.6	5	and
0	//	0	T10102	0	6	0	0	0	417.6	6	bottom
0	//	0	T10102	0	7	0	0	1	417.6	0	no
0	None	0	T10102	0	8	0	0	2	417.6	0	because
0	None	0	T10102	0	9	0	0	2	417.6	1	you
0	None	0	T10102	0	10	0	0	2	417.6	2	don't
0	None	0	T10102	0	11	0	0	2	417.6	3	want
0	None	0	T10102	0	12	0	0	2	417.6	4	them
0	None	0	T10102	0	13	0	0	2	417.6	5	to
0	None	0	T10102	0	14	0	0	2	417.6	6	be
0	//	0	T10102	0	15	0	0	2	417.6	7	dirty
0	//	0	T10102	0	16	0	0	3	417.6	0	no
0	None	0	T10102	1	17	0	0	4	417.6	0	um
0	None	0	T10102	0	18	0	0	4	417.6	1	i
0	None	0	T10102	0	19	0	0	4	417.6	2	don't
0	None	0	T10102	0	20	0	0	4	417.6	3	get
0	//	0	T10102	0	21	0	0	4	417.6	4	that
0	None	0	T10102	1	22	0	0	5	417.6	0	um
0	None	0	T10102	0	23	0	0	5	417.6	1	you
0	None	0	T10102	0	24	0	0	5	417.6	2	go
0	None	0	T10102	0	25	0	0	5	417.6	3	to
0	None	0	T10102	0	26	0	0	5	417.6	4	the
0	None	0	T10102	0	27	0	0	5	417.6	5	bottom
0	None	0	T10102	0	28	0	0	5	417.6	6	and
0	None	0	T10102	0	29	0	0	5	417.6	7	you
0	None	0	T10102	0	30	0	0	5	417.6	8	go
0	None	0	T10102	0	31	0	0	5	417.6	9	to
0	None	0	T10102	0	32	0	0	5	417.6	10	the
0	//	0	T10102	0	33	0	0	5	417.6	11	top
0	//	0	T10102	0	34	0	0	6	417.6	0	no
0	None	0	T10102	0	35	0	0	7	417.6	0	because
0	None	0	T10102	0	36	0	0	7	417.6	1	you
0	None	0	T10102	0	37	0	0	7	417.6	2	don't
0	None	0	T10102	0	38	0	0	7	417.6	3	want
0	None	0	T10102	0	39	0	0	7	417.6	4	your
0	None	0	T10102	0	40	0	0	7	417.6	5	teeths
0	None	0	T10102	0	41	0	0	7	417.6	6	to
0	None	0	T10102	0	42	0	0	7	417.6	7	be
0	//	0	T10102	0	43	0	0	7	417.6	8	dirty
